Entry Date,Stock Symbol,Long/Short,Entry Price,Stop Loss
1/6/21,NVDA,Short,510.52,546.1
1/8/21,TWTR,Short,52.3,56.12
1/8/21,AUPH,Long,13.3,12.94
1/11/21,MBIO,Long,4.3,3.84
1/11/21,AAPL,Short,129.5,138.8
1/11/21,PTON,Short,152.26,164
1/15/21,AEP,Long,79.82,77.54
1/19/21,PTON,Short,155,166.08
1/19/21,SHWZ,Long,1.76,1.46
1/27/21,ELYS,Long,6.15,5.02
1/28/21,VLNCF,Long,1.43,1.03
2/8/21,SPY,Short,390.15,415.1
2/8/21,ZAGG,Long,4.28,4.08
2/10/21,IWM,Short,230,240.16
2/16/21,PLUG,Short,61.58,70.58
2/16/21,YELL,Long,6.3,5.54
2/24/21,SNAP,Short,69.09,73.6
2/25/21,AQUA,Long,25.21,24.19
2/25/21,SOS,Long,6.09,4.98
3/8/21,T,Long,29.82,28.64
3/8/21,IBM,Long,124.36,118.76
3/8/21,MILE,Long,9.6,8.42
3/9/21,LFMD,Long,17.06,14.48
3/10/21,SNAP,Long,57.25,55.48
3/10/21,PYPL,Long,245,237.89
3/16/21,K,Long,60.5,58.8
3/16/21,TLRY,Long,29.46,24.3
3/17/21,TLT,Long,135.16,133.22
3/19/21,TLT,Long,134.6,129.68
3/22/21,UAA,Short,23.58,24.62
3/26/21,GDDY,Long,76.59,74.28
3/26/21,JUVAF,Long,0.8,0.67
3/29/21,T,Long,30.5,29.48
3/29/21,NPA,Long,12.48,11
3/29/21,TSIA,Long,11.01,10.52
3/30/21,NIO,Long,36.6,34.48
3/31/21,CLVS,Long,6.92,6.18
3/30/21,U,Long,96.44,86
4/5/21,SPY,Short,403.6,410.56
4/5/21,LULU,Short,298.54,311.7
4/5/21,FEYE,Long,19.62,19.32
4/12/21,MDT,Long,122.06,119.96
4/13/21,IWM,Short,219.38,228.6
4/12/21,DASH,Long,138,133.42
4/15/21,SH,Long,15.99,15.41
4/20/21,ASTS,Long,7.98,7.12
4/20/21,CVM,Long,17.66,16.78
4/21/21,JOB,Long,0.6,0.55
4/22/21,NET,Long,74.92,71.9
4/23/21,FEYE,Long,20.4,20.14
4/26/21,DFLYF,Long,1.51,1.36
5/3/21,MAT,Short,21.42,22
5/4/21,GBTC,Short,44.44,48.27
5/4/21,LEN,Short,104.68,107.06
5/4/21,SNBR,Short,110.2,116.28
5/7/21,SBRA,Long,17.66,17.38
5/6/21,IWM,Short,220.78,230.96
5/12/21,VIAC,Long,40.48,37.32
5/17/21,KALV,Long,26.2,24.1
5/17/21,PRQR,Long,6.56,6.04
5/17/21,ACAD,Long,22,20.74
5/17/21,GEO,Long,6.26,5.99
5/18/21,REI,Long,2.38,2.1
5/24/21,DASH,Long,140.74,130
5/24/21,SIEN,Long,7.26,6.66
5/24/21,GPRO,Long,10.34,10.08
5/26/21,GBTC,Long,31.93,28
5/26/21,ARVL,Long,19.56,17.58
5/28/21,BLUE,Long,31.88,29.52
6/1/21,GSAT,Long,1.62,1.46
6/1/21,DNN,Long,1.34,1.2
6/2/21,KSS,Short,54.88,57.18
6/9/21,TLLTF,Long,0.54,0.46
6/11/21,GPRO,Long,12.52,11.94
6/14/21,MAT,Short,20.42,21.5
6/14/21,XLF,Short,37.28,38.18
6/14/21,KSS,Short,53.6,56.1
6/14/21,FITB,Short,40.28,41.86
6/14/21,LIN,Short,289.94,294.5
6/14/21,IYT,Short,264.82,271.6
6/14/21,LOW,Short,188.28,192.7
6/15/21,LB,Short,64.6,67.7
6/15/21,WISH,Long,11.95,10.36
6/17/21,CAKE,Short,55.2,58.7
6/22/21,BBIG,Long,4.73,3.9
6/22/21,ETHE,Long,16.5,15.29
6/22/21,CIEN,Long,57.24,56.24
6/21/21,BKI,Long,74.5,73.62
6/22/21,AYX,Long,86,81.14
6/21/21,LULU,Long,351.26,343.48
6/21/21,FB,Short,328.7,336.16
6/28/21,SOFI,Long,18.1,17.64
6/25/21,BBD,Short,5.36,5.56
6/29/21,GNLN,Long,4.4,4.1
6/30/21,GPRO,Long,11.59,10.92
7/1/21,YALA,Long,20,19
7/1/21,SPY,Short,429.4,432.56
7/2/21,HUT,Long,4.68,3.7
7/1/21,GNLN,Long,4.35,3.92
7/6/21,POLA,Long,10.66,9.68
7/6/21,KSS,Short,54.24,55.94
7/6/21,CAKE,Short,53.19,56.62
7/6/21,SNPR,Long,10.04,9.9
7/6/21,SFTW,Long,10.04,9.94
7/7/21,DFLYF,Long,1.29,1.16
7/6/21,FITB,Short,38,39
7/6/21,XLF,Short,36.68,37.42
7/6/21,WSC,Short,27.34,28.46
7/7/21,FB,Short,350.94,358.8
7/8/21,BABA,Long,199.99,198.26
7/8/21,LIN,Short,287.2,293.1
7/9/21,IWM,Short,225.65,229.46
7/9/21,WISH,Long,11.2,10.24
7/12/21,PENN,Long,73.22,71.93
7/12/21,SUMO,Long,22.7,22.02
7/12/21,FXI,Long,43.95,42.72
7/12/21,PXD,Short,154.62,162.52
7/12/21,STNE,Short,62.78,65.66
7/12/21,BBIG,Long,4.1,3.82
7/13/21,GNLN,Long,4.06,3.78
7/14/21,IP,Short,61.43,62.36
7/14/21,XLF,Short,36.32,37.17
7/20/21,ETHE,Long,16.04,15.29
7/23/21,DFLYF,Long,1.36,1.16
7/23/21,CVS,Long,83.31,81.74
7/28/21,ATH,Short,63.78,65.76
7/27/21,XLF,Short,36.04,37.02
7/27/21,ORI,Short,24.28,24.9
7/27/21,DELL,Short,95.12,97.1
7/27/21,SLM,Short,18.6,19.66
8/2/21,HUT,Long,4.88,4.4
8/2/21,KYMR,Long,60.86,56.67
8/2/21,LOW,Short,191.14,197.72
8/2/21,CIDM,Long,1.68,1.48
8/6/21,ADMP,Long,1.05,0.94
8/6/21,VXRT,Long,8.26,7.6
8/6/21,SOFI,Long,16.65,15.2
8/4/21,DPRO,Long,3.77,3.32
8/9/21,AUPH,Long,14.2,12.84
8/10/21,CCI,Short,192.5,196
8/10/21,AMAT,Short,139.9,144.11
8/18/21,PLTR,Long,25.1,23.58
8/17/21,ARRY,Long,17.6,15.12
8/16/21,CNQ,Short,31.98,33.92
8/17/21,ATH,Short,63.6,67.14
8/17/21,GNLN,Long,2.4,2.1
8/18/21,DPRO,Long,3.07,2.91
8/17/21,AFL,Short,56.69,57.8
8/19/21,TMUS,Short,139.98,141.86
8/20/21,AMAT,Short,125.61,132.06
8/23/21,IGT,Long,18.24,17.79
8/23/21,BTBT,Long,12.56,10.52
8/23/21,VXRT,Long,8.42,7.8
8/23/21,COIN,Long,260.62,243.76
8/23/21,AYX,Long,73.06,66.92
8/23/21,AUPH,Long,13.88,12.88
8/23/21,ARRY,Long,19.06,17.5
8/23/21,LTCH,Long,10.38,9.46
8/25/21,TMUS,Short,140.36,143.28
8/25/21,SRPT,Long,77.9,73.04
8/31/21,TGT,Short,246.61,255.22
8/31/21,NKE,Short,166.26,169.52
8/31/21,OGI,Long,2.73,2.48
8/30/21,ABNB,Long,156.44,151.44
8/30/21,YUM,Short,131.04,132.74
8/30/21,BTBT,Long,12.7,10.56
9/1/21,SQQQ,Long,7.2,6.78
9/2/21,SLV,Long,22.18,21.2
9/2/21,T,Long,27.75,27.16
9/7/21,YUM,Short,130.44,132.62
9/7/21,DELL,Short,96.22,99.06
9/9/21,REGN,Short,644.64,659.77
9/13/21,TEAM,Short,377.31,387.49
9/13/21,PANW,Short,463.73,479.01
9/13/21,ZTS,Short,205.45,210.11
9/13/21,REFR,Long,2.49,2.24
9/15/21,CTRM,Long,2.44,2.14
9/15/21,SLV,Long,22.01,21.2
9/20/21,LQMT,Long,0.1,0.08
9/20/21,ATIF,Long,4,3.34
9/19/21,RIDE,Long,6.96,6.34
9/22/21,NURO,Long,12.31,10.35
9/21/21,LOW,Long,207,204.9
9/21/21,MDIA,Long,8.44,7
9/22/21,RWLK,Long,2.31,1.78
9/27/21,INVH,Short,39.52,40.52
9/27/21,REI,Long,2.82,2.44
9/27/21,ARKK,Short,115.6,119.52
9/27/21,EGP,Short,169.59,173.76
9/27/21,BLUE,Long,18.9,17.54
9/28/21,IPOF,Long,10.34,10.12
9/30/21,BBKCF,Long,1.08,0.9
9/30/21,WD,Short,111.23,116.7
9/30/21,SPG,Short,130.68,135.12
9/30/21,XHB,Short,73.48,75.9
9/30/21,XRT,Short,93.84,96.96
9/30/21,OSCR,Long,18,16.6
9/4/21,AAPL,Short,141.26,144.76
9/4/21,ZS,Short,256,268
9/4/21,CTAS,Short,368.7,393.1
9/4/21,BR,Short,164.16,169.8
10/4/21,MAPS,Long,15.06,13.92
10/5/21,FIZZ,Long,53.3,51.5
10/6/21,DIS,Short,171.96,177.32
10/6/21,KSS,Short,46.62,49.66
10/6/21,SPG,Short,130.49,135.12
10/7/21,SOFI,Long,16.76,15.75
10/7/21,VERB,Long,2.26,2.02
`0/11/11,WK,Short,134.94,141.6
10/11/21,HOOD,Long,42.06,39.22
10/11/21,QS,Long,23.58,22.32
10/12/21,CBAY,Long,4.1,3.8
10/15/21,PENN,Long,77.36,71.88
10/15/21,TRIP,Long,37.6,35.74
10/15/21,PZZA,Short,122.3,128.31
10/20/21,DPRO,Long,3.66,2.86
10/19/21,GME,Long,190.2,170.2
10/19/21,JKS,Long,54.2,49.94
10/20/21,BTBT,Long,12.06,10.34
10/22/21,MNKD,Long,4.45,4.08
10/26/21,UAL,Long,47.16,44.82
10/29/21,DIS,Short,168.59,173.36
10/29/21,IRNT,Long,12.56,10.4
11/1/21,TSLA,Short,1145,1190
11/1/21,FUBO,Long,31,28
11/1/21,CARR,Short,51.92,54.92
11/8/21,PSLV,Long,8.51,8.14
11/11/21,BBBY,Long,22.06,20.8
11/12/21,BKKT,Long,24.52,22.48
11/17/21,GLD,Long,174.46,168.5
11/18/21,BKD,Long,6.83,6.67
11/18/21,MS,Short,97.34,100.64
11/17/21,ZKIN,Long,2.56,2.14
11/22/21,U,Short,187.02,201.06
11/23/21,BITF,Long,7.92,7.08
11/26/21,EPI,Short,37.06,39.34
11/24/21,XSPA,Long,1.62,1.44
12/1/21,PUBM,Long,40.84,36.56
12/6/21,MOS,Long,34.7,33.93
12/9/21,ARDX,Long,1.54,1.1
12/13/21,QQQ,Short,392.98,401.2
12/13/21,MOS,Long,35.91,34.41
12/14/21,PKG,Long,130.41,127.88
12/21/21,NOVRF,Long,2.48,1.98
12/21/21,OPEN,Long,14.48,12.64
12/22/21,GLD,Long,168.01,164.34
12/30/21,SPY,Short,478.3,488.2
